KDM1A,COIL
KDM1A,PFD5
KDM1A,KT33B
KDM1A,MYC
KDM1A,VP37B
KDM1A,A0A1B0GV97
KDM1A,B7Z896
KDM1A,A0A384MR00
KDM1A,A0A0C4DGQ6
KDM1A,ASPP2
KDM1A,NRBF2
KDM1A,A0A0S2Z669
KDM1A,RASF3
KDM1A,UBS3B
KDM1A,GOG6A
KDM1A,ANR23
KDM1A,SPICE
KDM1A,CAGE1
KDM1A,F204A
KDM1A,CEP57
KDM1A,ZBT39
KDM1A,GOGA2
KDM1A,TM266
KDM1A,F161A
KDM1A,B3KVF5
KDM1A,CCD14
KDM1A,GCC1
KDM1A,Q63HP7
KDM1A,K1C39
KDM1A,KRT35
KDM1A,K1C40
KDM1A,ZBED1
KDM1A,JERKY
A8K6Q4,MARE2
RHG33,CRTP1
ACPM,LNX1
ACPM,FND3B
ACPM,VAC14
ACPM,MS18B
ACPM,KCTD9
ACPM,BBC3
ACPM,EIF3B
ACPM,NRF1
ACPM,SLIRP
ACPM,ZN410
ACPM,TOX2
ACPM,THAP1
ACPM,RBTN2
ACPM,MORN3
ACPM,FEM1A
ACPM,E5RHC2
ACPM,ZNF19
ACPM,CCD24
ACPM,PP16A
ACPM,TLX3
ACPM,A0A140VK42
ACPM,POP5
ACPM,HINFP
ACPM,Q96C98
ACPM,BEX5
ACPM,ZN829
ACPM,NOXA1
ACPM,MBLC1
ACPM,CNTF
ACPM,ACTN3
PDK4,PKHF2
ZMY10,TBX5
ZMY10,IFT43
ZMY10,NTM2F
ZMY10,MTUS2
ZMY10,EIF3M
ZMY10,NUTM1
ZMY10,RBM11
ZMY10,ITF2
ZMY10,CRTP1
ZMY10,WBP1
B3AT,FHR5
B3AT,TMM60
B3AT,ADA33
B3AT,BMP10
CCHL,SNX1
CCHL,CIDEB
CCHL,SENP2
RPB11,TRAF4
RPB11,MS18B
RPB11,MYOG
RPB11,SDCB1
RPB11,E5RHC2
RPB11,VP37C
RPB11,RPAC1
RPB11,SNPC5
RPB11,CC153
MEOX1,HMGB3
MEOX1,HXC8
MEOX1,MK09
MEOX1,HOME3
MEOX1,MBD3
MEOX1,A8K340
MEOX1,TRIM1
MEOX1,RBM41
MEOX1,GEMI2
MEOX1,UB2R1
MEOX1,PPM1F
MEOX1,A0A0S2Z5X6
MEOX1,CSK21
MEOX1,EMD
MEOX1,GYS1
MEOX1,O43849
MEOX1,UB2R2
MEOX1,MLX
MEOX1,DUS3
MEOX1,BYST
MEOX1,PLCD4
MEOX1,AIRIM
MEOX1,ZN410
MEOX1,A6NGX6
MEOX1,CIP4
MEOX1,PIN1
MEOX1,S14L4
MEOX1,SPAG8
MEOX1,SDCB1
MEOX1,PARVG
MEOX1,PELI2
MEOX1,BNIP2
MEOX1,UN45A
MEOX1,TXN4B
MEOX1,OSGI1
MEOX1,IF4A3
MEOX1,TRI41
MEOX1,P20D2
MEOX1,HMBX1
MEOX1,C102B
MEOX1,C19L2
MEOX1,NEIL2
MEOX1,B4DU89
MEOX1,HYCC2
MEOX1,CTSRT
MEOX1,CNO11
MEOX1,UBXN7
MEOX1,CA050
MEOX1,SPIC
MEOX1,CC103
MEOX1,H3BUK6
MEOX1,CACB3
MEOX1,ACO12
MEOX1,CKS1
MEOX1,PCP2
MEOX1,B3KQZ4
MEOX1,ANC2
MEOX1,TRIMM
MEOX1,MKRN3
MEOX1,GCC1
MEOX1,CN119
MEOX1,AAKG1
MEOX1,A0A087WVS7
MEOX1,CMIP4
MEOX1,MCRS1
MEOX1,4EBP1
MEOX1,NDOR1
MEOX1,KANK2
MEOX1,ATG9A
MEOX1,GPAN1
MEOX1,KCTD7
THS7A,ELOV5
THS7A,AQP6
THS7A,A0A140VJG8
THS7A,CD33
THS7A,B2R672
THS7A,GOLM1
THS7A,VMA21
THS7A,SCN3B
THS7A,TMUB2
THS7A,AR13B
THS7A,DHB13
THS7A,LHPL1
CPIN1,A0A140VJK1
CPIN1,CACB3
CPIN1,NDOR1
ATOSB,AKP8L
ATOSB,ZRAN1
ATOSB,TBC23
ATOSB,PRDM6
ATOSB,EYA2
ATOSB,ZMY12
ATOSB,PTN21
ATOSB,VP9D1
ATOSB,TRAF4
ATOSB,TRIM1
ATOSB,PICK1
ATOSB,IMA4
